PROVINCIA DEFUNCION;CANTON DEFUNCION;PARROQUIA DEFUNCION;1/1/2020;1/2/2020;1/3/2020;1/4/2020;1/5/2020;1/6/2020;1/7/2020;1/8/2020;1/9/2020
TUNGURAHUA;AMBATO;QUISAPINCHA;2;3;4;7;8;7;8;7;3
TUNGURAHUA;AMBATO;SAN BARTOLOME DE PINLLO;2;2;4;2;3;6;4;7;2
TUNGURAHUA;AMBATO;SAN FERNANDO;;1;;1;2;1;1;;
TUNGURAHUA;AMBATO;SAN FRANCISCO;1;;;2;1;;1;2;
TUNGURAHUA;AMBATO;SANTA ROSA;5;8;3;8;12;12;17;12;10
TUNGURAHUA;AMBATO;TOTORAS;3;2;4;2;5;5;7;3;
TUNGURAHUA;AMBATO;UNAMUNCHO;;1;;1;3;3;2;2;1
TUNGURAHUA;BAÑOS DE AGUA SANTA;BAÑOS DE AGUA SANTA;6;5;3;4;8;4;15;8;7
TUNGURAHUA;BAÑOS DE AGUA SANTA;LLIGUA;;;;;;;;1;
TUNGURAHUA;BAÑOS DE AGUA SANTA;RIO NEGRO;;;;;2;1;;1;2
TUNGURAHUA;BAÑOS DE AGUA SANTA;RIO VERDE;1;;2;;;;1;;1
TUNGURAHUA;BAÑOS DE AGUA SANTA;ULBA;;1;;;;2;3;1;1
TUNGURAHUA;CEVALLOS;CEVALLOS;5;5;3;1;2;5;4;4;2
TUNGURAHUA;MOCHA;MOCHA;3;2;1;;1;8;2;3;
TUNGURAHUA;MOCHA;PINGUILI;;;;;;1;1;;
TUNGURAHUA;PATATE;EL TRIUNFO;;1;;1;;1;1;;1
TUNGURAHUA;PATATE;LOS ANDES;1;;;1;;1;;3;
TUNGURAHUA;PATATE;PATATE;2;4;1;8;5;2;6;3;2
TUNGURAHUA;PATATE;SUCRE;1;1;;1;;2;;;
TUNGURAHUA;PELILEO;BENITEZ (PACHANLICA);;1;;2;1;5;4;;
TUNGURAHUA;PELILEO;BOLIVAR;;1;;;1;1;1;;2
TUNGURAHUA;PELILEO;CHIQUICHA;1;1;1;;1;;1;;4
TUNGURAHUA;PELILEO;COTALO;;1;1;2;;;;2;
TUNGURAHUA;PELILEO;EL ROSARIO (RUMICHACA);;;4;1;;;1;2;1
TUNGURAHUA;PELILEO;GARCIA MORENO;2;6;;;;3;1;;
TUNGURAHUA;PELILEO;HUAMBALO;1;1;4;5;3;7;4;6;1
TUNGURAHUA;PELILEO;PELILEO;8;9;11;10;16;19;20;13;8
TUNGURAHUA;PELILEO;PELILEO GRANDE;2;;;;2;1;2;2;
TUNGURAHUA;PELILEO;SALASACA;2;2;1;2;6;6;2;1;2
TUNGURAHUA;PILLARO;BAQUERIZO MORENO;;;;;;;;1;
TUNGURAHUA;PILLARO;CIUDAD NUEVA;;;3;2;5;2;2;3;1
TUNGURAHUA;PILLARO;EMILIO MARIA TERAN;;2;;;;2;;;
TUNGURAHUA;PILLARO;MARCOS ESPINEL;1;;;;;;1;1;
TUNGURAHUA;PILLARO;PILLARO;8;5;7;7;10;4;12;8;10
TUNGURAHUA;PILLARO;PRESIDENTE URBINA;;1;;1;1;3;3;2;
TUNGURAHUA;PILLARO;SAN ANDRES;4;4;2;;3;7;7;7;2
TUNGURAHUA;PILLARO;SAN JOSE DE POALO;;;;;;2;1;;
TUNGURAHUA;PILLARO;SAN MIGUELITO;1;1;2;1;3;4;3;3;1
TUNGURAHUA;QUERO;QUERO;4;3;3;3;6;11;10;5;5
TUNGURAHUA;QUERO;RUMIPAMBA;;;;;;1;1;1;
TUNGURAHUA;QUERO;YANAYACU;;1;;;;;;;
TUNGURAHUA;TISALEO;QUINCHICOTO;2;;;;;;1;1;
TUNGURAHUA;TISALEO;TISALEO;5;1;2;3;4;5;8;4;6
ZAMORA CHINCHIPE;CENTINELA DEL CONDOR;PANGUINTZA;;;1;;;;1;;
ZAMORA CHINCHIPE;CENTINELA DEL CONDOR;TRIUNFO - DORADO;;;;;;;;1;
ZAMORA CHINCHIPE;CENTINELA DEL CONDOR;ZUMBI;3;;2;1;1;1;1;4;2
ZAMORA CHINCHIPE;CHINCHIPE;CHINCHIPE (ZUMBA)*;;;;;;;;1;
ZAMORA CHINCHIPE;CHINCHIPE;CHITO;;;;;1;;;;
ZAMORA CHINCHIPE;CHINCHIPE;LA CHONTA;;;;;;;;;1
ZAMORA CHINCHIPE;CHINCHIPE;SAN ANDRES;;;;;1;;;;
ZAMORA CHINCHIPE;CHINCHIPE;ZUMBA;2;;1;2;2;1;3;4;
ZAMORA CHINCHIPE;EL PANGUI;EL GUISME;;;;;;3;;;
ZAMORA CHINCHIPE;EL PANGUI;EL PANGUI;3;2;2;;3;3;2;2;3
ZAMORA CHINCHIPE;EL PANGUI;PACHICUTZA;;;;;;2;;;
ZAMORA CHINCHIPE;EL PANGUI;TUNDAYME;;;;1;;;;;
ZAMORA CHINCHIPE;NANGARITZA;GUAYZIMI;;1;1;1;1;;1;;
ZAMORA CHINCHIPE;NANGARITZA;NUEVO PARAISO;;;;;;;1;;
ZAMORA CHINCHIPE;NANGARITZA;ZURMI;;;;1;;1;1;2;
ZAMORA CHINCHIPE;PALANDA;EL PORVENIR DEL CARMEN;1;;;1;;;;;
ZAMORA CHINCHIPE;PALANDA;PALANDA;1;1;1;2;;;;;
ZAMORA CHINCHIPE;PALANDA;SAN FRANCISCO DEL VERGEL;1;;;;;;;2;
ZAMORA CHINCHIPE;PALANDA;VALLADOLID;;;;;1;1;;;
ZAMORA CHINCHIPE;PAQUISHA;NUEVO QUITO;;;;;;;2;1;1
ZAMORA CHINCHIPE;PAQUISHA;PAQUISHA;;2;;;1;1;;;
ZAMORA CHINCHIPE;YACUAMBI;28 DE MAYO;1;2;;1;;4;1;1;1
ZAMORA CHINCHIPE;YACUAMBI;LA PAZ;;;1;;2;1;;1;
ZAMORA CHINCHIPE;YACUAMBI;TUTUPALI;;1;2;1;;1;;;
ZAMORA CHINCHIPE;YANTZAZA;CHICAÑA;;1;2;;;;1;;
ZAMORA CHINCHIPE;YANTZAZA;LOS ENCUENTROS;;2;1;2;2;3;2;;1
ZAMORA CHINCHIPE;YANTZAZA;YANTZAZA;6;5;4;1;6;14;14;14;2
ZAMORA CHINCHIPE;ZAMORA;CUMBARATZA;;;;2;1;1;;2;2
ZAMORA CHINCHIPE;ZAMORA;GUADALUPE;;1;;;;;;2;1
ZAMORA CHINCHIPE;ZAMORA;LA VICTORIA DE IMBANA;1;;;1;;2;;;
ZAMORA CHINCHIPE;ZAMORA;SABANILLA;;1;;;;;;;1
ZAMORA CHINCHIPE;ZAMORA;SAN CARLOS DE LAS MINAS;;1;1;;;;1;2;
ZAMORA CHINCHIPE;ZAMORA;ZAMORA;7;5;3;5;7;8;7;11;1
